,price,load_actual,Solar,Wind_Onshore,Wind_Offshore,residual_load,re_penetration,wind_share,solar_share,hour_cos,solar_peak_impact,price_lag_24h,price_lag_168h,hour_sin,is_weekend,pred_baseline,pred_xgboost
2026-01-16 13:00:00+01:00,95.81,68324.91595,19802.484,11164.00607,4274.929,33083.49687999999,0.5157916197919598,0.2259634696264855,0.2898281501654742,-0.9659258262890684,-19127.730720276057,98.44,84.92,-0.2588190451025208,0,84.92,90.12462
2026-01-16 14:00:00+01:00,101.54,65722.27469,15107.282,7954.45133,3773.55,38886.99136000001,0.4083133679802949,0.1784478913019801,0.2298654766783148,-0.8660254037844388,-13083.289994135384,101.4,81.94,-0.4999999999999997,0,81.94,96.93027
2026-01-16 15:00:00+01:00,116.08,65404.25788,8383.495,6341.32557,3261.389,47418.04831,0.2750005909859885,0.1468209392058008,0.1281796517801877,-0.7071067811865479,-5928.026164543519,103.21,82.15,-0.7071067811865471,0,82.15,109.52907
2026-01-16 16:00:00+01:00,129.99,66435.36193,1781.107,6435.34636,2799.682,55419.22657,0.1658173454614007,0.1390077225699551,0.0268096228914455,-0.5000000000000004,-890.5535000000008,124.09,82.39,-0.8660254037844385,0,82.39,143.35883
2026-01-16 17:00:00+01:00,160.46,68927.47343,36.654,7944.19013,2305.977,58640.6523,0.1492412331121767,0.1487094567655908,0.0005317763465858,-0.2588190451025206,-9.486753279187791,151.18,92.78,-0.9659258262890684,0,92.78,169.80292
2026-01-16 18:00:00+01:00,168.02,69830.39047,44.648,9404.89759,1976.443,58404.40188,0.1636248703909044,0.1629854926114091,0.0006393777794953,-1.8369701987210294e-16,-8.201704543249654e-15,133.49,89.98,-1.0,0,89.98,159.1388
2026-01-16 19:00:00+01:00,165.06,67933.81275,83.194,10296.82575,1790.819,55762.974,0.1791573041070037,0.1779326709437488,0.0012246331632549,0.2588190451025203,21.532191638259075,112.21,89.94,-0.9659258262890684,0,89.94,238.51604
2026-01-16 20:00:00+01:00,142.6,64906.68564,15.392,10642.06303,1462.264,52786.96661,0.1867252796918502,0.1864881392517209,0.0002371404401292,0.5000000000000001,7.6960000000000015,101.1,83.55,-0.8660254037844386,0,83.55,136.8694
2026-01-16 21:00:00+01:00,124.97,61639.0036,4.413,10729.29141,1488.125,49417.17419,0.1982807750967603,0.1982091808181013,7.159427865897561e-05,0.7071067811865474,3.120462225376233,93.36,84.21,-0.7071067811865477,0,84.21,112.711006
2026-01-16 22:00:00+01:00,125.76,58617.34996,5.641,10440.95749,1749.271,46421.48047,0.2080590388054451,0.207962804499325,9.62343061201056e-05,0.8660254037844384,4.885249302748017,94.12,84.33,-0.5000000000000004,0,84.33,103.19112
2026-01-16 23:00:00+01:00,119.66,55483.41073,4.484,10663.73085,1410.133,43405.062880000005,0.2176929588697619,0.217612141920317,8.081694944495349e-05,0.965925826289068,4.3312114050801815,90.0,77.71,-0.2588190451025215,0,77.71,98.24089
2026-01-17 00:00:00+01:00,117.99,52236.52858,5.936,10572.03397,1227.39,40431.16861,0.2259981719864892,0.2258845350324005,0.0001136369540887,1.0,5.936,89.62,78.94,0.0,1,78.94,101.942345
